Address,Latitude,Longitude,Pet at Home,Animal Type,Count
"7610  Cameron,Austin,TX",30.331529,-97.688755,False,Cat,1
"5209 Coppermead Lane,Austin,TX",30.3325907,-97.64639179999999,False,Cat,4
"Manchaca Rd And East William Cannon,Austin,TX",30.202829,-97.80688339999999,False,Cat,1
"Highway 183 And Burleson Road,Austin,TX",30.1828424,-97.68748400000001,False,Cat,1
"2425 Ashdale Drive,Austin,TX",30.3589148,-97.7318954,False,Cat,1
"3456 North Hills Drive,Austin,TX",30.3495464,-97.75332209999999,False,Cat,1
"East Martin Luther King Boulevard And Poquito Street,Austin,TX",30.2799397,-97.7202221,False,Cat,2
"1840 Burton Drive,Austin,TX",30.235465,-97.72979199999999,False,Cat,2
"3003 Catalina Drive,Austin,TX",30.2225622,-97.7361708,False,Cat,1
"10000 Research Boulevard,Austin,TX",30.3932526,-97.74751739999999,False,Cat,1
"Willow Street And Perdanales Street,Austin,TX",30.2534577,-97.7171769,False,Cat,1
"1720 Bunche Road,Austin,TX",30.279449,-97.677289,False,Cat,1
"14420 Bois D Arc,Manor,TX",30.372585,-97.50609,False,Cat,1
"5319 Presidio Road,Austin,TX",30.2040281,-97.76401330000002,False,Cat,1
"Riverside Drive And South Congress Avenue,Austin,TX",30.25715,-97.74685749999999,False,Cat,1
"Arboretum Boulevard,Austin,TX",30.3920911,-97.7517767,False,Cat,1
"511 East 46Th Street,Austin,TX",30.3080979,-97.72260179999999,False,Cat,2
"7109 South Brook Dr,Austin,TX",30.23486359999999,-97.88310059999999,True,Cat,2
"1209 East 52Nd Street,Austin,TX",30.3088003,-97.70714489999999,False,Cat,5
"10560 Bilbrook Place,Austin,TX",30.15861199999999,-97.812067,False,Cat,1
"600 Barwood Park,Austin,TX",30.3493598,-97.6964283,False,Cat,1
"12336 N Mopac Blvd,Austin,TX",30.4173637,-97.7063522,False,Cat,1
"5701 Mopac Expressway,Austin,TX",30.22740829999999,-97.8277682,False,Cat,1
"5804 Jacqueline,Travis,TX",30.2562973,-97.5742669,False,Cat,1
"2100 Citation Drive,Del Valle,TX",30.2166362,-97.51927769999999,False,Cat,1
"15708 Opal Fire Dr,Austin,TX",30.4622385,-97.684153,False,Cat,2
"815 Christopher Street,Austin,TX",30.2551552,-97.7559658,False,Cat,7
"Mckinney Falls And William Cannon,Austin,TX",30.1632324,-97.72589339999999,False,Cat,1
"8906 Briardale Drive,Austin,TX",30.3653127,-97.7146623,False,Cat,1
"11700 Metric Boulevard,Austin,TX",30.3963168,-97.7068349,False,Cat,1
"933 Coronation Way,Pflugerville,TX",30.4274549,-97.63947759999999,False,Cat,1
"6214 Cameron Road,Austin,TX",30.3204456,-97.6969877,False,Cat,1
"2305 Island Wood Road,Austin,TX",30.3390174,-97.84669269999999,False,Cat,1
"14520 Thunderhead Road,Austin,TX",30.37317389999999,-97.9305732,False,Cat,1
"14520 Thunderhead Rd,Austin,TX",30.37317389999999,-97.9305732,False,Cat,1
"403 E Ben White Blvd,Austin,TX",30.2199249,-97.76011450000001,False,Cat,1
"6807 Starcrest Lane,Austin,TX",30.3082092,-97.6394845,False,Cat,3
"6506 Hickman Avenue,Austin,TX",30.3180613,-97.6889784,False,Cat,1
"908 Cedar Glen,Austin,TX",30.2115084,-97.7850711,False,Cat,4
"Highway 183 And Fm 812,Austin,TX",30.1641437,-97.6927921,False,Cat,1
"4709 Gallego Cir,Austin,TX",30.3147227,-97.96322210000001,False,Cat,1
"750 Gunter Street,Austin,TX",30.2589166,-97.7021468,False,Cat,1
"6801 Riverside Drive,Austin,TX",30.2219991,-97.69951999999999,False,Cat,1
"7100  290 Frontage Road,Austin,TX",30.3227604,-97.6826957,False,Cat,1
"12601 Rampart Street,Austin,TX",30.4166145,-97.6916593,False,Cat,1
"4913 Hudson Bend Road,Austin,TX",30.4116778,-97.9257827,False,Cat,1
"1616 Chippeway Ln,Austin,TX",30.2062069,-97.79826709999999,False,Cat,2
"7001 South Congress Avenue,Austin,TX",30.1898137,-97.77930029999999,False,Cat,1
"3518 Malone Dr,Austin,TX",30.1808274,-97.852933,False,Cat,2
"8205 Burrell Dr,Austin,TX",30.3570005,-97.7209328,False,Cat,1
"7337 Manchaca Road,Austin,TX",30.196711,-97.8074335,False,Cat,5
"11611 Raymond C Ewry Lane,Austin,TX",30.1519585,-97.8409035,False,Cat,2
"710 E Ben White Blvd,Austin,TX",30.2210485,-97.7540937,False,Cat,1
"Gardner Road And Bolm Road,Austin,TX",30.2558338,-97.6849685,False,Cat,1
"Burleson Road And Princeton Drive,Austin,TX",30.22353309999999,-97.7347554,False,Cat,1
"Wichersham And Oltorf Street,Austin,TX",30.22561129999999,-97.72435639999999,False,Cat,1
"1902 W 37Th Street,Austin,TX",30.3107354,-97.754292,False,Cat,1
"11000 Block Of Research Blvd,Austin,TX",30.403239,-97.7460184,False,Cat,1
"1101 Wheatley Avenue,Austin,TX",30.3334079,-97.6938273,False,Cat,4
"2417 W Ben White,Austin,TX",30.2319959,-97.7943584,False,Cat,1
"1709 East 38Th,Austin,TX",30.2903729,-97.7130815,False,Cat,1
"8004 Seminary Ridge,Austin,TX",30.1967434,-97.8210694,False,Cat,1
"12113 Stoney Meadow Drive,Del Valle,TX",30.158899,-97.6382299,False,Cat,1
"404 Ledgeway,Travis,TX",30.294846,-97.804783,False,Cat,1
"Franklin Neightborhood Park Trail,Austin,TX",30.1989248,-97.7402577,False,Cat,3
"14906 Zurick Drive,Del Valle,TX",30.1300419,-97.6117866,False,Cat,2
"Thaxton Road And Frye Rye Drive,Austin,TX",30.159483,-97.7481856,False,Cat,1
"9414 N Lamar Blvd,,Austin,TX",30.3647777,-97.69794429999999,False,Cat,1
"Hartsmith And Austins Colony Boulevard,Austin,TX",30.2302459,-97.5923971,False,Cat,1
"North Loop And Joe Sayers,Austin,TX",30.3247299,-97.73704219999999,False,Cat,1
"9515 Hotel Dr,Austin,TX",30.2114648,-97.66386469999999,False,Cat,1
"16120 Jacobson Road,Del Valle,TX",30.123414,-97.597251,False,Cat,5
"6805 Side Saddle Street,Austin,TX",30.2131598,-97.82491859999999,False,Cat,1
"135 And Stassney,Austin,TX",30.2043064,-97.77444589999999,False,Cat,1
"Norht Fm 620,Austin,TX",30.4385115,-97.837192,False,Cat,1
"6812 South Congress,Austin,TX",30.19167019999999,-97.78017609999999,False,Cat,1
"107 Mist Flower,Pflugerville,TX",30.4195653,-97.6585308,False,Cat,1
"1201 Lady Bird Lane,Austin,TX",30.2424473,-97.72255249999999,False,Cat,1
"5803 Gloucester Lane,Austin,TX",30.304468,-97.677584,False,Cat,1
"11604 Cecil Rosetta Ct,Creedmoor,TX",30.107454,-97.73301699999999,False,Cat,1
"4500 Steiner Ranch,Austin,TX",30.383677,-97.88141399999999,False,Cat,1
"6909 Ryan Drive,Austin,TX",30.3383316,-97.7208677,False,Cat,1
"7100 Bluff Spring Road,Austin,TX",30.1833005,-97.76974969999999,False,Cat,1
"3505 Rockhurst Lane,Austin,TX",30.31251749999999,-97.666192,False,Cat,1
"10114 Jollyville Rd,Austin,TX",30.3955409,-97.7503682,False,Cat,1
"13401 Metric Blvd,Austin,TX",30.4229095,-97.6794455,False,Cat,1
"912 Keith Ln,Austin,TX",30.2915827,-97.7251442,False,Cat,1
"7706 Village Creek,Austin,TX",30.1710568,-97.75875339999999,False,Cat,1
"124 Bolles Circle,Austin,TX",30.3505065,-97.70387730000002,False,Cat,1
"841 Airport Boulevard,Austin,TX",30.257944,-97.69215,False,Cat,2
"Highway 183 And Bolm Road,Austin,TX",30.25431349999999,-97.68006659999999,False,Cat,1
"7201 Levander Loop,Austin,TX",30.2527847,-97.6904186,False,Cat,2
"1711 Burton Drive,Austin,TX",30.2365633,-97.727786,False,Cat,1
"7200 Twisted Oaks,Austin,TX",30.2028958,-97.8133246,False,Cat,1
"2207 West Parmer Lane,Austin,TX",30.4169758,-97.69926880000001,False,Cat,1
"2213 Rountree Drive,Austin,TX",30.2858963,-97.70754380000001,False,Cat,1
"Airport Boulevard And Ih35,Austin,TX",30.3013334,-97.7144764,False,Cat,1
"3309 Peavy,Austin,TX",30.2315003,-97.58941779999999,False,Cat,1
"6211 Manor Rd #120,Austin,TX",30.307658,-97.675153,False,Cat,1
"Howard Lane And Ih 35,Austin,TX",30.4243431,-97.6711588,False,Cat,1
"11923 Highway 290,Manor,TX",30.3475734,-97.5441204,False,Cat,1
"5952 Hammerhill Run,Austin,TX",30.187984,-97.7467133,False,Cat,1
"1414 W Ben White Blvd,Austin,TX",30.2286024,-97.7821228,False,Cat,1
"6301 West Slaughter Lane,Austin,TX",30.2024443,-97.8852952,False,Cat,1
"12501 Alberta Ridge,Austin,TX",30.4239194,-97.8581995,False,Cat,1
"Santa Cruz Drive And Greyfox Drive,Austin,TX",30.4103117,-97.7361323,False,Cat,1
"6212 Crow Lane,Austin,TX",30.1976278,-97.7724786,False,Cat,1
"1901 Sunny Brook Drive,Austin,TX",30.3040008,-97.6934268,False,Cat,2
"Lakewood Drive And Capital Of Texas Highway,Austin,TX",30.3717843,-97.7857318,False,Cat,1
"8900 Mesa Dr,Austin,TX",30.3827795,-97.7461371,False,Cat,1
"1625 And 183,Austin,TX",30.2206866,-97.6830804,False,Cat,1
"701 Center Ridge Drive,Austin,TX",30.4135114,-97.668206,False,Cat,1
"6103 Dooley Trail,Austin,TX",30.2900225,-97.63861779999999,False,Cat,1
"4106 N Lamar Blvd,Austin,TX",30.3094917,-97.74074990000001,False,Cat,1
"3203 Burley Cove,Austin,TX",30.2008798,-97.83085249999999,False,Cat,1
"1903 Winsted Lane,Austin,TX",30.2899042,-97.761971,False,Cat,1
"North Lamar Blvd And West 51St Street,Austin,TX",30.3187353,-97.73087919999999,False,Cat,1
"3703 Robinson Avenue,Austin,TX",30.2932918,-97.7189868,False,Cat,3
"7113 Dan Jean,Austin,TX",30.1994915,-97.80505169999999,False,Cat,1
"1163 Lott Avenue,Austin,TX",30.2749377,-97.6823481,False,Cat,1
"8105 Linden Road,Del Valle,TX",30.13887519999999,-97.58378119999999,False,Cat,2
"8103 Seeling Drive,Austin,TX",30.2026254,-97.68824459999999,False,Cat,1
"207 Beaver,Austin,TX",30.3526255,-97.7009896,False,Cat,1
"9908 Thaxton Road,Austin,TX",30.131147,-97.73888699999999,False,Cat,1
"9615 Teasdale,Austin,TX",30.357491,-97.6789393,False,Cat,4
"5300 Fence Row,Austin,TX",30.1981571,-97.73456809999999,False,Cat,1
"1301 Crossing Place,Austin,TX",30.2359449,-97.7115007,False,Cat,2
"7126 Hillcrest Lane,Austin,TX",30.2791177,-97.6760836,False,Cat,1
"Highway 290 And Highway 183 Overpass,Austin,TX",30.324235,-97.67155609999999,False,Cat,1
"2125 Boyds Way,Austin,TX",30.1607845,-97.83544959999999,False,Cat,1
"5701 Johnny Morris Road,Austin,TX",30.2919175,-97.65322189999999,False,Cat,1
"11901 Pavilion,Austin,TX",30.424769,-97.754402,True,Cat,2
